name,category,what,aesthetic,url
Intercom,Productivity & SaaS,Customer messaging,"Friendly blue palette, conversational UI patterns",https://getdesign.md/intercom/design-md
Linear,Productivity & SaaS,Project management for engineers,"Ultra-minimal, precise, purple accent",https://getdesign.md/linear.app/design-md
Mintlify,Productivity & SaaS,Documentation platform,"Clean, green-accented, reading-optimized",https://getdesign.md/mintlify/design-md
Notion,Productivity & SaaS,All-in-one workspace,"Warm minimalism, serif headings, soft surfaces",https://getdesign.md/notion/design-md
Resend,Productivity & SaaS,Email API for developers,"Minimal dark theme, monospace accents",https://getdesign.md/resend/design-md
Zapier,Productivity & SaaS,Automation platform,"Warm orange, friendly illustration-driven",https://getdesign.md/zapier/design-md
Airtable,Design & Creative Tools,Spreadsheet-database hybrid,"Colorful, friendly, structured data aesthetic",https://getdesign.md/airtable/design-md
Clay,Design & Creative Tools,Creative agency,"Organic shapes, soft gradients, art-directed layout",https://getdesign.md/clay/design-md
Figma,Design & Creative Tools,Collaborative design tool,"Vibrant multi-color, playful yet professional",https://getdesign.md/figma/design-md
Framer,Design & Creative Tools,Website builder,"Bold black and blue, motion-first, design-forward",https://getdesign.md/framer/design-md
Miro,Design & Creative Tools,Visual collaboration,"Bright yellow accent, infinite canvas aesthetic",https://getdesign.md/miro/design-md
Webflow,Design & Creative Tools,Visual web builder,"Blue-accented, polished marketing site aesthetic",https://getdesign.md/webflow/design-md
Binance,Fintech & Crypto,Crypto exchange,"Bold Binance Yellow on monochrome, trading-floor urgency",https://getdesign.md/binance/design-md
Coinbase,Fintech & Crypto,Crypto exchange,"Clean blue identity, trust-focused, institutional feel",https://getdesign.md/coinbase/design-md
Kraken,Fintech & Crypto,Crypto trading platform,"Purple-accented dark UI, data-dense dashboards",https://getdesign.md/kraken/design-md
Mastercard,Fintech & Crypto,Global payments network,"Warm cream canvas, orbital pill shapes, editorial warmth",https://getdesign.md/mastercard/design-md
Revolut,Fintech & Crypto,Digital banking,"Sleek dark interface, gradient cards, fintech precision",https://getdesign.md/revolut/design-md
Stripe,Fintech & Crypto,Payment infrastructure,"Signature purple gradients, weight-300 elegance",https://getdesign.md/stripe/design-md
Wise,Fintech & Crypto,International money transfer,"Bright green accent, friendly and clear",https://getdesign.md/wise/design-md
Airbnb,E-commerce & Retail,Travel marketplace,"Warm coral accent, photography-driven, rounded UI",https://getdesign.md/airbnb/design-md
Meta,E-commerce & Retail,Tech retail store,"Photography-first, binary light/dark surfaces, Meta Blue CTAs",https://getdesign.md/meta/design-md
Nike,E-commerce & Retail,Athletic retail,"Monochrome UI, massive uppercase Futura, full-bleed photography",https://getdesign.md/nike/design-md
Shopify,E-commerce & Retail,E-commerce platform,"Dark-first cinematic, neon green accent, ultra-light display type",https://getdesign.md/shopify/design-md
Apple,Media & Consumer Tech,Consumer electronics,"Premium white space, SF Pro, cinematic imagery",https://getdesign.md/apple/design-md
IBM,Media & Consumer Tech,Enterprise technology,"Carbon design system, structured blue palette",https://getdesign.md/ibm/design-md
NVIDIA,Media & Consumer Tech,GPU computing,"Green-black energy, technical power aesthetic",https://getdesign.md/nvidia/design-md
Pinterest,Media & Consumer Tech,Visual discovery platform,"Red accent, masonry grid, image-first",https://getdesign.md/pinterest/design-md
PlayStation,Media & Consumer Tech,Gaming console retail,"Three-surface channel layout, cyan hover-scale interaction",https://getdesign.md/playstation/design-md
SpaceX,Media & Consumer Tech,Space technology,"Stark black and white, full-bleed imagery, futuristic",https://getdesign.md/spacex/design-md
Spotify,Media & Consumer Tech,Music streaming,"Vibrant green on dark, bold type, album-art-driven",https://getdesign.md/spotify/design-md
The Verge,Media & Consumer Tech,Tech editorial media,"Acid-mint and ultraviolet accents, Manuka display type",https://getdesign.md/theverge/design-md
Uber,Media & Consumer Tech,Mobility platform,"Bold black and white, tight type, urban energy",https://getdesign.md/uber/design-md
Vodafone,Media & Consumer Tech,Global telecom brand,"Monumental uppercase display, Vodafone Red chapter bands",https://getdesign.md/vodafone/design-md
WIRED,Media & Consumer Tech,Tech magazine,"Paper-white broadsheet density, custom serif, ink-blue links",https://getdesign.md/wired/design-md
BMW,Automotive,Luxury automotive,"Dark premium surfaces, precise German engineering aesthetic",https://getdesign.md/bmw/design-md
Bugatti,Automotive,Luxury hypercar,"Cinema-black canvas, monochrome austerity, monumental display type",https://getdesign.md/bugatti/design-md
Ferrari,Automotive,Luxury automotive,"Chiaroscuro black-white editorial, Ferrari Red with extreme sparseness",https://getdesign.md/ferrari/design-md
Lamborghini,Automotive,Luxury automotive,"True black cathedral, gold accent, LamboType custom Neo-Grotesk",https://getdesign.md/lamborghini/design-md
Renault,Automotive,French automotive,"Vivid aurora gradients, NouvelR proprietary typeface, zero-radius buttons",https://getdesign.md/renault/design-md
Tesla,Automotive,Electric vehicles,"Radical subtraction, cinematic full-viewport photography, Universal Sans",https://getdesign.md/tesla/design-md
